"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"70-74 years"	"70-74"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"70-74 years"	"70-74"	"Male"	"M"	5	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"70-74 years"	"70-74"			10	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"75-79 years"	"75-79"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"75-79 years"	"75-79"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"75-79 years"	"75-79"			15	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"80-84 years"	"80-84"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"80-84 years"	"80-84"	"Male"	"M"	5	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"80-84 years"	"80-84"			15	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"85-89 years"	"85-89"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"85-89 years"	"85-89"			9	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"90-94 years"	"90-94"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"90-94 years"	"90-94"			6	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"95-99 years"	"95-99"			0	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Not Stated"	"NS"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"Not Stated"	"NS"			3	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"					1339	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"< 1 year"	"1"			1	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"1-4 years"	"1-4"			1	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"5-9 years"	"5-9"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"5-9 years"	"5-9"			1	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"10-14 years"	"10-14"			2	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"15-19 years"	"15-19"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"15-19 years"	"15-19"	"Male"	"M"	14	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"15-19 years"	"15-19"			26	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"20-24 years"	"20-24"	"Female"	"F"	18	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"20-24 years"	"20-24"	"Male"	"M"	55	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"20-24 years"	"20-24"			73	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"25-29 years"	"25-29"	"Female"	"F"	31	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"25-29 years"	"25-29"	"Male"	"M"	81	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"25-29 years"	"25-29"			112	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"30-34 years"	"30-34"	"Female"	"F"	37	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"30-34 years"	"30-34"	"Male"	"M"	104	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"30-34 years"	"30-34"			141	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"35-39 years"	"35-39"	"Female"	"F"	83	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"35-39 years"	"35-39"	"Male"	"M"	173	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"35-39 years"	"35-39"			256	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"40-44 years"	"40-44"	"Female"	"F"	91	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"40-44 years"	"40-44"	"Male"	"M"	187	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"40-44 years"	"40-44"			278	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"45-49 years"	"45-49"	"Female"	"F"	58	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"45-49 years"	"45-49"	"Male"	"M"	137	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"45-49 years"	"45-49"			195	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"50-54 years"	"50-54"	"Female"	"F"	37	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"50-54 years"	"50-54"	"Male"	"M"	77	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"50-54 years"	"50-54"			114	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"55-59 years"	"55-59"	"Female"	"F"	20	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"55-59 years"	"55-59"	"Male"	"M"	21	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"55-59 years"	"55-59"			41	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"60-64 years "	"60-64"	"Female"	"F"	7	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"60-64 years "	"60-64"	"Male"	"M"	15	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"60-64 years "	"60-64"			22	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"65-69 years"	"65-69"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"65-69 years"	"65-69"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"65-69 years"	"65-69"			23	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"70-74 years"	"70-74"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"70-74 years"	"70-74"	"Male"	"M"	9	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"70-74 years"	"70-74"			17	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"75-79 years"	"75-79"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"75-79 years"	"75-79"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"75-79 years"	"75-79"			18	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"80-84 years"	"80-84"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"80-84 years"	"80-84"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"80-84 years"	"80-84"			8	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"85-89 years"	"85-89"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"85-89 years"	"85-89"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"85-89 years"	"85-89"			6	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"90-94 years"	"90-94"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"90-94 years"	"90-94"			0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"95-99 years"	"95-99"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"95-99 years"	"95-99"			1	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"	"Not Stated"	"NS"			0	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"					1336	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"< 1 year"	"1"			2	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"1-4 years"	"1-4"			0	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"10-14 years"	"10-14"			2	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"15-19 years"	"15-19"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"15-19 years"	"15-19"	"Male"	"M"	18	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"15-19 years"	"15-19"			26	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"20-24 years"	"20-24"	"Female"	"F"	17	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"20-24 years"	"20-24"	"Male"	"M"	54	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"20-24 years"	"20-24"			71	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"25-29 years"	"25-29"	"Female"	"F"	33	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"25-29 years"	"25-29"	"Male"	"M"	83	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"25-29 years"	"25-29"			116	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"30-34 years"	"30-34"	"Female"	"F"	48	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"30-34 years"	"30-34"	"Male"	"M"	109	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"30-34 years"	"30-34"			157	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"35-39 years"	"35-39"	"Female"	"F"	75	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"35-39 years"	"35-39"	"Male"	"M"	131	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"35-39 years"	"35-39"			206	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"40-44 years"	"40-44"	"Female"	"F"	90	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"40-44 years"	"40-44"	"Male"	"M"	179	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"40-44 years"	"40-44"			269	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"45-49 years"	"45-49"	"Female"	"F"	71	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"45-49 years"	"45-49"	"Male"	"M"	134	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"45-49 years"	"45-49"			205	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"50-54 years"	"50-54"	"Female"	"F"	41	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"50-54 years"	"50-54"	"Male"	"M"	73	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"50-54 years"	"50-54"			114	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"55-59 years"	"55-59"	"Female"	"F"	29	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"55-59 years"	"55-59"	"Male"	"M"	31	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"55-59 years"	"55-59"			60	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"60-64 years "	"60-64"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"60-64 years "	"60-64"	"Male"	"M"	13	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"60-64 years "	"60-64"			19	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"65-69 years"	"65-69"	"Female"	"F"	7	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"65-69 years"	"65-69"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"65-69 years"	"65-69"			11	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"70-74 years"	"70-74"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"70-74 years"	"70-74"	"Male"	"M"	11	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"70-74 years"	"70-74"			21	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"75-79 years"	"75-79"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"75-79 years"	"75-79"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"75-79 years"	"75-79"			15	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"80-84 years"	"80-84"	"Female"	"F"	13	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"80-84 years"	"80-84"	"Male"	"M"	5	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"80-84 years"	"80-84"			18	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"85-89 years"	"85-89"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"85-89 years"	"85-89"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"85-89 years"	"85-89"			10	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"90-94 years"	"90-94"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"90-94 years"	"90-94"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"90-94 years"	"90-94"			6	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"95-99 years"	"95-99"			1	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Not Stated"	"NS"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"	"Not Stated"	"NS"			3	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"					1332	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"< 1 year"	"1"			2	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"1-4 years"	"1-4"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"1-4 years"	"1-4"			2	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"10-14 years"	"10-14"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"10-14 years"	"10-14"			1	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"15-19 years"	"15-19"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"15-19 years"	"15-19"	"Male"	"M"	19	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"15-19 years"	"15-19"			25	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"20-24 years"	"20-24"	"Female"	"F"	31	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"20-24 years"	"20-24"	"Male"	"M"	66	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"20-24 years"	"20-24"			97	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"25-29 years"	"25-29"	"Female"	"F"	30	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"25-29 years"	"25-29"	"Male"	"M"	93	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"25-29 years"	"25-29"			123	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"30-34 years"	"30-34"	"Female"	"F"	36	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"30-34 years"	"30-34"	"Male"	"M"	118	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"30-34 years"	"30-34"			154	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"35-39 years"	"35-39"	"Female"	"F"	74	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"35-39 years"	"35-39"	"Male"	"M"	181	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"35-39 years"	"35-39"			255	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"40-44 years"	"40-44"	"Female"	"F"	85	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"40-44 years"	"40-44"	"Male"	"M"	193	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"40-44 years"	"40-44"			278	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"45-49 years"	"45-49"	"Female"	"F"	64	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"45-49 years"	"45-49"	"Male"	"M"	164	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"45-49 years"	"45-49"			228	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"50-54 years"	"50-54"	"Female"	"F"	42	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"50-54 years"	"50-54"	"Male"	"M"	68	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"50-54 years"	"50-54"			110	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"55-59 years"	"55-59"	"Female"	"F"	21	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"55-59 years"	"55-59"	"Male"	"M"	27	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"55-59 years"	"55-59"			48	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"60-64 years "	"60-64"	"Female"	"F"	14	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"60-64 years "	"60-64"	"Male"	"M"	20	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"60-64 years "	"60-64"			34	Not Applicable	Not Applicable
