"Notes"	"State"	"State Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"District of Columbia"	"11"	"Friday"	"6"	214	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Saturday"	"7"	225	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Sunday"	"1"	6235	Not Applicable	Not Applicable
	"Florida"	"12"	"Monday"	"2"	5529	Not Applicable	Not Applicable
	"Florida"	"12"	"Tuesday"	"3"	5326	Not Applicable	Not Applicable
	"Florida"	"12"	"Wednesday"	"4"	5440	Not Applicable	Not Applicable
	"Florida"	"12"	"Thursday"	"5"	5583	Not Applicable	Not Applicable
	"Florida"	"12"	"Friday"	"6"	6021	Not Applicable	Not Applicable
	"Florida"	"12"	"Saturday"	"7"	6736	Not Applicable	Not Applicable
	"Florida"	"12"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Georgia"	"13"	"Sunday"	"1"	2206	Not Applicable	Not Applicable
	"Georgia"	"13"	"Monday"	"2"	1898	Not Applicable	Not Applicable
	"Georgia"	"13"	"Tuesday"	"3"	1898	Not Applicable	Not Applicable
	"Georgia"	"13"	"Wednesday"	"4"	1875	Not Applicable	Not Applicable
	"Georgia"	"13"	"Thursday"	"5"	1909	Not Applicable	Not Applicable
	"Georgia"	"13"	"Friday"	"6"	2016	Not Applicable	Not Applicable
	"Georgia"	"13"	"Saturday"	"7"	2398	Not Applicable	Not Applicable
	"Georgia"	"13"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sunday"	"1"	342	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Monday"	"2"	291	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Tuesday"	"3"	297	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Wednesday"	"4"	276	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Thursday"	"5"	266	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Friday"	"6"	321	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Saturday"	"7"	276	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sunday"	"1"	349	Not Applicable	Not Applicable
	"Idaho"	"16"	"Monday"	"2"	314	Not Applicable	Not Applicable
	"Idaho"	"16"	"Tuesday"	"3"	327	Not Applicable	Not Applicable
	"Idaho"	"16"	"Wednesday"	"4"	354	Not Applicable	Not Applicable
	"Idaho"	"16"	"Thursday"	"5"	316	Not Applicable	Not Applicable
	"Idaho"	"16"	"Friday"	"6"	349	Not Applicable	Not Applicable
	"Idaho"	"16"	"Saturday"	"7"	405	Not Applicable	Not Applicable
	"Idaho"	"16"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sunday"	"1"	3304	Not Applicable	Not Applicable
	"Illinois"	"17"	"Monday"	"2"	2804	Not Applicable	Not Applicable
	"Illinois"	"17"	"Tuesday"	"3"	2843	Not Applicable	Not Applicable
	"Illinois"	"17"	"Wednesday"	"4"	2764	Not Applicable	Not Applicable
	"Illinois"	"17"	"Thursday"	"5"	2925	Not Applicable	Not Applicable
	"Illinois"	"17"	"Friday"	"6"	3040	Not Applicable	Not Applicable
	"Illinois"	"17"	"Saturday"	"7"	3578	Not Applicable	Not Applicable
	"Illinois"	"17"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sunday"	"1"	1917	Not Applicable	Not Applicable
	"Indiana"	"18"	"Monday"	"2"	1506	Not Applicable	Not Applicable
	"Indiana"	"18"	"Tuesday"	"3"	1610	Not Applicable	Not Applicable
	"Indiana"	"18"	"Wednesday"	"4"	1675	Not Applicable	Not Applicable
	"Indiana"	"18"	"Thursday"	"5"	1690	Not Applicable	Not Applicable
	"Indiana"	"18"	"Friday"	"6"	1771	Not Applicable	Not Applicable
	"Indiana"	"18"	"Saturday"	"7"	2035	Not Applicable	Not Applicable
	"Indiana"	"18"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Iowa"	"19"	"Sunday"	"1"	460	Not Applicable	Not Applicable
	"Iowa"	"19"	"Monday"	"2"	440	Not Applicable	Not Applicable
	"Iowa"	"19"	"Tuesday"	"3"	418	Not Applicable	Not Applicable
	"Iowa"	"19"	"Wednesday"	"4"	439	Not Applicable	Not Applicable
	"Iowa"	"19"	"Thursday"	"5"	430	Not Applicable	Not Applicable
	"Iowa"	"19"	"Friday"	"6"	430	Not Applicable	Not Applicable
	"Iowa"	"19"	"Saturday"	"7"	462	Not Applicable	Not Applicable
	"Iowa"	"19"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Sunday"	"1"	626	Not Applicable	Not Applicable
	"Kansas"	"20"	"Monday"	"2"	537	Not Applicable	Not Applicable
	"Kansas"	"20"	"Tuesday"	"3"	556	Not Applicable	Not Applicable
	"Kansas"	"20"	"Wednesday"	"4"	581	Not Applicable	Not Applicable
	"Kansas"	"20"	"Thursday"	"5"	545	Not Applicable	Not Applicable
	"Kansas"	"20"	"Friday"	"6"	583	Not Applicable	Not Applicable
	"Kansas"	"20"	"Saturday"	"7"	634	Not Applicable	Not Applicable
	"Kansas"	"20"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Sunday"	"1"	1962	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Monday"	"2"	1504	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Tuesday"	"3"	1477	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Wednesday"	"4"	1579	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Thursday"	"5"	1767	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Friday"	"6"	1908	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Saturday"	"7"	2217	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Sunday"	"1"	1520	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Monday"	"2"	1252	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Tuesday"	"3"	1271	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Wednesday"	"4"	1228	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Thursday"	"5"	1351	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Friday"	"6"	1428	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Saturday"	"7"	1701	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Maine"	"23"	"Sunday"	"1"	374	Not Applicable	Not Applicable
	"Maine"	"23"	"Monday"	"2"	356	Not Applicable	Not Applicable
	"Maine"	"23"	"Tuesday"	"3"	312	Not Applicable	Not Applicable
	"Maine"	"23"	"Wednesday"	"4"	352	Not Applicable	Not Applicable
	"Maine"	"23"	"Thursday"	"5"	358	Not Applicable	Not Applicable
	"Maine"	"23"	"Friday"	"6"	385	Not Applicable	Not Applicable
	"Maine"	"23"	"Saturday"	"7"	404	Not Applicable	Not Applicable
	"Maine"	"23"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Maryland"	"24"	"Sunday"	"1"	2082	Not Applicable	Not Applicable
	"Maryland"	"24"	"Monday"	"2"	1716	Not Applicable	Not Applicable
	"Maryland"	"24"	"Tuesday"	"3"	1646	Not Applicable	Not Applicable
	"Maryland"	"24"	"Wednesday"	"4"	1725	Not Applicable	Not Applicable
	"Maryland"	"24"	"Thursday"	"5"	1810	Not Applicable	Not Applicable
	"Maryland"	"24"	"Friday"	"6"	1937	Not Applicable	Not Applicable
	"Maryland"	"24"	"Saturday"	"7"	2211	Not Applicable	Not Applicable
	"Maryland"	"24"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Sunday"	"1"	2183	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Monday"	"2"	1951	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Tuesday"	"3"	1865	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Wednesday"	"4"	1962	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Thursday"	"5"	1979	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Friday"	"6"	2252	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Saturday"	"7"	2467	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Michigan"	"26"	"Sunday"	"1"	2866	Not Applicable	Not Applicable
	"Michigan"	"26"	"Monday"	"2"	2473	Not Applicable	Not Applicable
	"Michigan"	"26"	"Tuesday"	"3"	2554	Not Applicable	Not Applicable
	"Michigan"	"26"	"Wednesday"	"4"	2666	Not Applicable	Not Applicable
	"Michigan"	"26"	"Thursday"	"5"	2765	Not Applicable	Not Applicable
	"Michigan"	"26"	"Friday"	"6"	2864	Not Applicable	Not Applicable
	"Michigan"	"26"	"Saturday"	"7"	3281	Not Applicable	Not Applicable
	"Michigan"	"26"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Sunday"	"1"	912	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Monday"	"2"	783	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Tuesday"	"3"	823	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Wednesday"	"4"	833	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Thursday"	"5"	815	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Friday"	"6"	835	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Saturday"	"7"	895	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Sunday"	"1"	700	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Monday"	"2"	551	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Tuesday"	"3"	605	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Wednesday"	"4"	586	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Thursday"	"5"	625	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Friday"	"6"	641	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Saturday"	"7"	752	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"Sunday"	"1"	1855	Not Applicable	Not Applicable
	"Missouri"	"29"	"Monday"	"2"	1632	Not Applicable	Not Applicable
	"Missouri"	"29"	"Tuesday"	"3"	1628	Not Applicable	Not Applicable
	"Missouri"	"29"	"Wednesday"	"4"	1638	Not Applicable	Not Applicable
	"Missouri"	"29"	"Thursday"	"5"	1600	Not Applicable	Not Applicable
	"Missouri"	"29"	"Friday"	"6"	1799	Not Applicable	Not Applicable
	"Missouri"	"29"	"Saturday"	"7"	2018	Not Applicable	Not Applicable
	"Missouri"	"29"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Montana"	"30"	"Sunday"	"1"	310	Not Applicable	Not Applicable
	"Montana"	"30"	"Monday"	"2"	215	Not Applicable	Not Applicable
	"Montana"	"30"	"Tuesday"	"3"	217	Not Applicable	Not Applicable
	"Montana"	"30"	"Wednesday"	"4"	236	Not Applicable	Not Applicable
	"Montana"	"30"	"Thursday"	"5"	272	Not Applicable	Not Applicable
	"Montana"	"30"	"Friday"	"6"	252	Not Applicable	Not Applicable
	"Montana"	"30"	"Saturday"	"7"	276	Not Applicable	Not Applicable
	"Montana"	"30"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Sunday"	"1"	216	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Monday"	"2"	215	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Tuesday"	"3"	224	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Wednesday"	"4"	221	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Thursday"	"5"	202	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Friday"	"6"	227	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Saturday"	"7"	243	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Nevada"	"32"	"Sunday"	"1"	1111	Not Applicable	Not Applicable
	"Nevada"	"32"	"Monday"	"2"	1173	Not Applicable	Not Applicable
	"Nevada"	"32"	"Tuesday"	"3"	1067	Not Applicable	Not Applicable
	"Nevada"	"32"	"Wednesday"	"4"	1106	Not Applicable	Not Applicable
	"Nevada"	"32"	"Thursday"	"5"	1106	Not Applicable	Not Applicable
	"Nevada"	"32"	"Friday"	"6"	1120	Not Applicable	Not Applicable
	"Nevada"	"32"	"Saturday"	"7"	1206	Not Applicable	Not Applicable
	"Nevada"	"32"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Sunday"	"1"	421	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Monday"	"2"	349	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Tuesday"	"3"	349	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Wednesday"	"4"	384	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Thursday"	"5"	386	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Friday"	"6"	455	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Saturday"	"7"	468	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Sunday"	"1"	2261	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Monday"	"2"	1918	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Tuesday"	"3"	1881	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Wednesday"	"4"	1876	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Thursday"	"5"	1974	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Friday"	"6"	2097	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Saturday"	"7"	2487	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Sunday"	"1"	1099	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Monday"	"2"	946	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Tuesday"	"3"	961	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Wednesday"	"4"	953	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Thursday"	"5"	945	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Friday"	"6"	945	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Saturday"	"7"	1119	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"New York"	"36"	"Sunday"	"1"	3913	Not Applicable	Not Applicable
	"New York"	"36"	"Monday"	"2"	3496	Not Applicable	Not Applicable
	"New York"	"36"	"Tuesday"	"3"	3469	Not Applicable	Not Applicable
	"New York"	"36"	"Wednesday"	"4"	3535	Not Applicable	Not Applicable
	"New York"	"36"	"Thursday"	"5"	3578	Not Applicable	Not Applicable
	"New York"	"36"	"Friday"	"6"	3814	Not Applicable	Not Applicable
	"New York"	"36"	"Saturday"	"7"	4304	Not Applicable	Not Applicable
	"New York"	"36"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Sunday"	"1"	2713	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Monday"	"2"	2261	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Tuesday"	"3"	2141	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Wednesday"	"4"	2295	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Thursday"	"5"	2303	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Friday"	"6"	2390	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Saturday"	"7"	2937	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Sunday"	"1"	50	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Monday"	"2"	54	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Tuesday"	"3"	68	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Wednesday"	"4"	52	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Thursday"	"5"	44	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Friday"	"6"	70	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Saturday"	"7"	73	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Ohio"	"39"	"Sunday"	"1"	3956	Not Applicable	Not Applicable
	"Ohio"	"39"	"Monday"	"2"	3372	Not Applicable	Not Applicable
	"Ohio"	"39"	"Tuesday"	"3"	3311	Not Applicable	Not Applicable
	"Ohio"	"39"	"Wednesday"	"4"	3415	Not Applicable	Not Applicable
	"Ohio"	"39"	"Thursday"	"5"	3659	Not Applicable	Not Applicable
	"Ohio"	"39"	"Friday"	"6"	4087	Not Applicable	Not Applicable
	"Ohio"	"39"	"Saturday"	"7"	4505	Not Applicable	Not Applicable
	"Ohio"	"39"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Sunday"	"1"	1384	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Monday"	"2"	1243	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Tuesday"	"3"	1207	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Wednesday"	"4"	1251	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Thursday"	"5"	1340	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Friday"	"6"	1342	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Saturday"	"7"	1543	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Oregon"	"41"	"Sunday"	"1"	1069	Not Applicable	Not Applicable
	"Oregon"	"41"	"Monday"	"2"	991	Not Applicable	Not Applicable
	"Oregon"	"41"	"Tuesday"	"3"	963	Not Applicable	Not Applicable
	"Oregon"	"41"	"Wednesday"	"4"	944	Not Applicable	Not Applicable
	"Oregon"	"41"	"Thursday"	"5"	1007	Not Applicable	Not Applicable
	"Oregon"	"41"	"Friday"	"6"	1007	Not Applicable	Not Applicable
	"Oregon"	"41"	"Saturday"	"7"	1049	Not Applicable	Not Applicable
	"Oregon"	"41"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Sunday"	"1"	4690	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Monday"	"2"	3968	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Tuesday"	"3"	3893	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Wednesday"	"4"	4043	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Thursday"	"5"	4327	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Friday"	"6"	4572	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Saturday"	"7"	5359	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Sunday"	"1"	397	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Monday"	"2"	399	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Tuesday"	"3"	398	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Wednesday"	"4"	349	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Thursday"	"5"	383	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Friday"	"6"	394	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Saturday"	"7"	436	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Sunday"	"1"	1266	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Monday"	"2"	1034	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Tuesday"	"3"	1008	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Wednesday"	"4"	1086	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Thursday"	"5"	1142	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Friday"	"6"	1174	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Saturday"	"7"	1421	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Unknown"	"9"	47	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Sunday"	"1"	90	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Monday"	"2"	95	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Tuesday"	"3"	90	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Wednesday"	"4"	102	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Thursday"	"5"	103	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Friday"	"6"	108	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Saturday"	"7"	101	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Sunday"	"1"	2317	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Monday"	"2"	1953	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Tuesday"	"3"	1936	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Wednesday"	"4"	2007	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Thursday"	"5"	2122	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Friday"	"6"	2233	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Saturday"	"7"	2459	Not Applicable	Not Applicable
