"Notes"	"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Colorado"	"08"	"Nursing home/long term care"	"6"	68	Not Applicable	Not Applicable
	"Colorado"	"08"	"Other"	"7"	1887	Not Applicable	Not Applicable
	"Colorado"	"08"	"Place of death unknown"	"9"	22	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Medical Facility - Inpatient"	"1"	608	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Medical Facility - Outpatient or ER"	"2"	1297	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Medical Facility - Dead on Arrival"	"3"	635	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Decedent's home"	"4"	3180	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Nursing home/long term care"	"6"	12	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Other"	"7"	1261	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Place of death unknown"	"9"	47	Not Applicable	Not Applicable
	"Delaware"	"10"	"Medical Facility - Inpatient"	"1"	225	Not Applicable	Not Applicable
	"Delaware"	"10"	"Medical Facility - Outpatient or ER"	"2"	383	Not Applicable	Not Applicable
	"Delaware"	"10"	"Medical Facility - Dead on Arrival"	"3"	14	Not Applicable	Not Applicable
	"Delaware"	"10"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Decedent's home"	"4"	926	Not Applicable	Not Applicable
	"Delaware"	"10"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Other"	"7"	330	Not Applicable	Not Applicable
	"Delaware"	"10"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Medical Facility - Inpatient"	"1"	185	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Medical Facility - Outpatient or ER"	"2"	453	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Medical Facility - Dead on Arrival"	"3"	23	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Decedent's home"	"4"	208	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Other"	"7"	476	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Medical Facility - Inpatient"	"1"	4007	Not Applicable	Not Applicable
	"Florida"	"12"	"Medical Facility - Outpatient or ER"	"2"	5391	Not Applicable	Not Applicable
	"Florida"	"12"	"Medical Facility - Dead on Arrival"	"3"	549	Not Applicable	Not Applicable
	"Florida"	"12"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Decedent's home"	"4"	22678	Not Applicable	Not Applicable
	"Florida"	"12"	"Hospice facility"	"5"	315	Not Applicable	Not Applicable
	"Florida"	"12"	"Nursing home/long term care"	"6"	98	Not Applicable	Not Applicable
	"Florida"	"12"	"Other"	"7"	7811	Not Applicable	Not Applicable
	"Florida"	"12"	"Place of death unknown"	"9"	21	Not Applicable	Not Applicable
	"Georgia"	"13"	"Medical Facility - Inpatient"	"1"	1361	Not Applicable	Not Applicable
	"Georgia"	"13"	"Medical Facility - Outpatient or ER"	"2"	1984	Not Applicable	Not Applicable
	"Georgia"	"13"	"Medical Facility - Dead on Arrival"	"3"	962	Not Applicable	Not Applicable
	"Georgia"	"13"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Georgia"	"13"	"Decedent's home"	"4"	5920	Not Applicable	Not Applicable
	"Georgia"	"13"	"Hospice facility"	"5"	41	Not Applicable	Not Applicable
	"Georgia"	"13"	"Nursing home/long term care"	"6"	32	Not Applicable	Not Applicable
	"Georgia"	"13"	"Other"	"7"	2305	Not Applicable	Not Applicable
	"Georgia"	"13"	"Place of death unknown"	"9"	1595	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	233	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	414	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	281	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	792	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	328	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Place of death unknown"	"9"	16	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	253	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	198	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Dead on Arrival"	"3"	23	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	1538	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	15	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	385	Not Applicable	Not Applicable
	"Idaho"	"16"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	2153	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	4160	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Dead on Arrival"	"3"	1781	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Illinois"	"17"	"Decedent's home"	"4"	9308	Not Applicable	Not Applicable
	"Illinois"	"17"	"Hospice facility"	"5"	27	Not Applicable	Not Applicable
	"Illinois"	"17"	"Nursing home/long term care"	"6"	77	Not Applicable	Not Applicable
	"Illinois"	"17"	"Other"	"7"	3722	Not Applicable	Not Applicable
	"Illinois"	"17"	"Place of death unknown"	"9"	27	Not Applicable	Not Applicable
	"Indiana"	"18"	"Medical Facility - Inpatient"	"1"	1630	Not Applicable	Not Applicable
	"Indiana"	"18"	"Medical Facility - Outpatient or ER"	"2"	1781	Not Applicable	Not Applicable
	"Indiana"	"18"	"Medical Facility - Dead on Arrival"	"3"	151	Not Applicable	Not Applicable
	"Indiana"	"18"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Indiana"	"18"	"Decedent's home"	"4"	6489	Not Applicable	Not Applicable
	"Indiana"	"18"	"Hospice facility"	"5"	20	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nursing home/long term care"	"6"	43	Not Applicable	Not Applicable
	"Indiana"	"18"	"Other"	"7"	2059	Not Applicable	Not Applicable
	"Indiana"	"18"	"Place of death unknown"	"9"	27	Not Applicable	Not Applicable
	"Iowa"	"19"	"Medical Facility - Inpatient"	"1"	435	Not Applicable	Not Applicable
	"Iowa"	"19"	"Medical Facility - Outpatient or ER"	"2"	449	Not Applicable	Not Applicable
	"Iowa"	"19"	"Medical Facility - Dead on Arrival"	"3"	65	Not Applicable	Not Applicable
	"Iowa"	"19"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Iowa"	"19"	"Decedent's home"	"4"	1738	Not Applicable	Not Applicable
	"Iowa"	"19"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Iowa"	"19"	"Nursing home/long term care"	"6"	16	Not Applicable	Not Applicable
	"Iowa"	"19"	"Other"	"7"	366	Not Applicable	Not Applicable
	"Iowa"	"19"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Medical Facility - Inpatient"	"1"	470	Not Applicable	Not Applicable
	"Kansas"	"20"	"Medical Facility - Outpatient or ER"	"2"	483	Not Applicable	Not Applicable
	"Kansas"	"20"	"Medical Facility - Dead on Arrival"	"3"	51	Not Applicable	Not Applicable
	"Kansas"	"20"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Decedent's home"	"4"	2420	Not Applicable	Not Applicable
	"Kansas"	"20"	"Hospice facility"	"5"	16	Not Applicable	Not Applicable
	"Kansas"	"20"	"Nursing home/long term care"	"6"	11	Not Applicable	Not Applicable
	"Kansas"	"20"	"Other"	"7"	611	Not Applicable	Not Applicable
	"Kansas"	"20"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Medical Facility - Inpatient"	"1"	1278	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Medical Facility - Outpatient or ER"	"2"	1981	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Medical Facility - Dead on Arrival"	"3"	301	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Medical Facility - Status unknown"	"10"	13	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Decedent's home"	"4"	6812	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Hospice facility"	"5"	13	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Nursing home/long term care"	"6"	38	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Other"	"7"	1941	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Place of death unknown"	"9"	37	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Medical Facility - Inpatient"	"1"	1037	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Medical Facility - Outpatient or ER"	"2"	1336	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Medical Facility - Dead on Arrival"	"3"	159	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Decedent's home"	"4"	5066	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Nursing home/long term care"	"6"	31	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Other"	"7"	2091	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Place of death unknown"	"9"	23	Not Applicable	Not Applicable
	"Maine"	"23"	"Medical Facility - Inpatient"	"1"	232	Not Applicable	Not Applicable
	"Maine"	"23"	"Medical Facility - Outpatient or ER"	"2"	265	Not Applicable	Not Applicable
	"Maine"	"23"	"Medical Facility - Dead on Arrival"	"3"	36	Not Applicable	Not Applicable
	"Maine"	"23"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Maine"	"23"	"Decedent's home"	"4"	1631	Not Applicable	Not Applicable
	"Maine"	"23"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Maine"	"23"	"Nursing home/long term care"	"6"	14	Not Applicable	Not Applicable
	"Maine"	"23"	"Other"	"7"	354	Not Applicable	Not Applicable
	"Maine"	"23"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Maryland"	"24"	"Medical Facility - Inpatient"	"1"	1068	Not Applicable	Not Applicable
	"Maryland"	"24"	"Medical Facility - Outpatient or ER"	"2"	3618	Not Applicable	Not Applicable
	"Maryland"	"24"	"Medical Facility - Dead on Arrival"	"3"	282	Not Applicable	Not Applicable
	"Maryland"	"24"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Maryland"	"24"	"Decedent's home"	"4"	443	Not Applicable	Not Applicable
	"Maryland"	"24"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Maryland"	"24"	"Nursing home/long term care"	"6"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"Other"	"7"	7656	Not Applicable	Not Applicable
	"Maryland"	"24"	"Place of death unknown"	"9"	39	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Medical Facility - Inpatient"	"1"	1442	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Medical Facility - Outpatient or ER"	"2"	2936	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Medical Facility - Dead on Arrival"	"3"	1429	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Decedent's home"	"4"	7321	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Nursing home/long term care"	"6"	33	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Other"	"7"	1481	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Place of death unknown"	"9"	12	Not Applicable	Not Applicable
	"Michigan"	"26"	"Medical Facility - Inpatient"	"1"	1905	Not Applicable	Not Applicable
	"Michigan"	"26"	"Medical Facility - Outpatient or ER"	"2"	2807	Not Applicable	Not Applicable
	"Michigan"	"26"	"Medical Facility - Dead on Arrival"	"3"	710	Not Applicable	Not Applicable
	"Michigan"	"26"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Michigan"	"26"	"Decedent's home"	"4"	10479	Not Applicable	Not Applicable
	"Michigan"	"26"	"Hospice facility"	"5"	13	Not Applicable	Not Applicable
	"Michigan"	"26"	"Nursing home/long term care"	"6"	98	Not Applicable	Not Applicable
	"Michigan"	"26"	"Other"	"7"	3422	Not Applicable	Not Applicable
	"Michigan"	"26"	"Place of death unknown"	"9"	33	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Medical Facility - Inpatient"	"1"	649	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Medical Facility - Outpatient or ER"	"2"	378	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Medical Facility - Dead on Arrival"	"3"	56	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Decedent's home"	"4"	3664	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Nursing home/long term care"	"6"	40	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Other"	"7"	1086	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Place of death unknown"	"9"	19	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Medical Facility - Inpatient"	"1"	566	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Medical Facility - Outpatient or ER"	"2"	678	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Medical Facility - Dead on Arrival"	"3"	84	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Decedent's home"	"4"	2283	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Nursing home/long term care"	"6"	15	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Other"	"7"	830	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"Medical Facility - Inpatient"	"1"	1266	Not Applicable	Not Applicable
	"Missouri"	"29"	"Medical Facility - Outpatient or ER"	"2"	1936	Not Applicable	Not Applicable
	"Missouri"	"29"	"Medical Facility - Dead on Arrival"	"3"	202	Not Applicable	Not Applicable
	"Missouri"	"29"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"Decedent's home"	"4"	6967	Not Applicable	Not Applicable
	"Missouri"	"29"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"Nursing home/long term care"	"6"	57	Not Applicable	Not Applicable
	"Missouri"	"29"	"Other"	"7"	1732	Not Applicable	Not Applicable
	"Missouri"	"29"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Montana"	"30"	"Medical Facility - Inpatient"	"1"	204	Not Applicable	Not Applicable
	"Montana"	"30"	"Medical Facility - Outpatient or ER"	"2"	190	Not Applicable	Not Applicable
	"Montana"	"30"	"Medical Facility - Dead on Arrival"	"3"	16	Not Applicable	Not Applicable
	"Montana"	"30"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Montana"	"30"	"Decedent's home"	"4"	1088	Not Applicable	Not Applicable
	"Montana"	"30"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Montana"	"30"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"Montana"	"30"	"Other"	"7"	268	Not Applicable	Not Applicable
	"Montana"	"30"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Medical Facility - Inpatient"	"1"	198	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Medical Facility - Outpatient or ER"	"2"	227	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Medical Facility - Dead on Arrival"	"3"	14	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Decedent's home"	"4"	867	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Nursing home/long term care"	"6"	11	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Other"	"7"	230	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Nevada"	"32"	"Medical Facility - Inpatient"	"1"	715	Not Applicable	Not Applicable
	"Nevada"	"32"	"Medical Facility - Outpatient or ER"	"2"	857	Not Applicable	Not Applicable
	"Nevada"	"32"	"Medical Facility - Dead on Arrival"	"3"	17	Not Applicable	Not Applicable
	"Nevada"	"32"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Nevada"	"32"	"Decedent's home"	"4"	5036	Not Applicable	Not Applicable
	"Nevada"	"32"	"Hospice facility"	"5"	20	Not Applicable	Not Applicable
	"Nevada"	"32"	"Nursing home/long term care"	"6"	22	Not Applicable	Not Applicable
	"Nevada"	"32"	"Other"	"7"	1188	Not Applicable	Not Applicable
	"Nevada"	"32"	"Place of death unknown"	"9"	34	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Medical Facility - Inpatient"	"1"	289	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Medical Facility - Outpatient or ER"	"2"	456	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Medical Facility - Dead on Arrival"	"3"	56	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Decedent's home"	"4"	1513	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Other"	"7"	485	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Medical Facility - Inpatient"	"1"	1467	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Medical Facility - Outpatient or ER"	"2"	2190	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Medical Facility - Dead on Arrival"	"3"	918	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Decedent's home"	"4"	6977	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Hospice facility"	"5"	23	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Nursing home/long term care"	"6"	30	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Other"	"7"	2860	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Place of death unknown"	"9"	28	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Medical Facility - Inpatient"	"1"	807	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Medical Facility - Outpatient or ER"	"2"	635	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Medical Facility - Dead on Arrival"	"3"	28	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Decedent's home"	"4"	4035	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Hospice facility"	"5"	18	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Nursing home/long term care"	"6"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Other"	"7"	1429	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"New York"	"36"	"Medical Facility - Inpatient"	"1"	2886	Not Applicable	Not Applicable
	"New York"	"36"	"Medical Facility - Outpatient or ER"	"2"	4396	Not Applicable	Not Applicable
	"New York"	"36"	"Medical Facility - Dead on Arrival"	"3"	1176	Not Applicable	Not Applicable
	"New York"	"36"	"Medical Facility - Status unknown"	"10"	36	Not Applicable	Not Applicable
	"New York"	"36"	"Decedent's home"	"4"	13754	Not Applicable	Not Applicable
	"New York"	"36"	"Hospice facility"	"5"	33	Not Applicable	Not Applicable
	"New York"	"36"	"Nursing home/long term care"	"6"	71	Not Applicable	Not Applicable
	"New York"	"36"	"Other"	"7"	3751	Not Applicable	Not Applicable
	"New York"	"36"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Medical Facility - Inpatient"	"1"	1859	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Medical Facility - Outpatient or ER"	"2"	2331	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Medical Facility - Dead on Arrival"	"3"	604	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Medical Facility - Status unknown"	"10"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Decedent's home"	"4"	9762	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Hospice facility"	"5"	25	Not Applicable	Not Applicable
